lat	lon	source
0	-23	UVP6
89.10305555555556	-144.03083333333333	UVP6
89.10444444444444	-149.96416666666667	UVP6
88.74444444444444	-149.96416666666667	UVP6
88.82555555555555	-135.4813888888889	UVP6
88.73916666666666	-135.0925	UVP6
88.50694444444444	-128.19166666666666	UVP6
88.51083333333334	-128.23166666666665	UVP6
88.36722222222222	-114.5275	UVP6
88.38694444444444	-114.30722222222222	UVP6
88.0988888888889	-99.39861111111111	UVP6
88.1	-99.305	UVP6
43.5561111111111	7.51277777777778	UVP6
43.5583333333333	7.50166666666667	UVP6
43.5416666666667	7.48333333333333	UVP6
43.5744444444444	7.46638888888889	UVP6
43.6275	7.406944444444444	UVP6
43.55	7.47972222222222	UVP6
43.5422222222222	7.52972222222222	UVP6
43.5833333333333	7.46444444444444	UVP6
43.5955555555556	7.47194444444444	UVP6
43.5441666666667	7.51861111111111	UVP6
43.5788888888889	7.46527777777778	UVP6
43.5719444444444	7.39166666666667	UVP6
43.5883333333333	7.48277777777778	UVP6
43.570277777777775	7.479444444444445	UVP6
43.5277777777778	7.5475	UVP6
43.5938888888889	7.45083333333333	UVP6
43.53	7.53611111111111	UVP6
43.5891666666667	7.45111111111111	UVP6
43.5725	7.48111111111111	UVP6
43.565	7.39305555555556	UVP6
43.5169444444444	7.42805555555556	UVP6
43.5141666666667	7.5675	UVP6
43.6036111111111	7.43722222222222	UVP6
43.5652777777778	7.51722222222222	UVP6
43.5169444444444	7.55611111111111	UVP6
43.5991666666667	7.43722222222222	UVP6
43.54388888888889	7.509444444444444	UVP6
43.5661111111111	7.3775	UVP6
43.5008333333333	7.58805555555556	UVP6
43.6133333333333	7.41888888888889	UVP6
43.5472222222222	7.53972222222222	UVP6
43.52361111111111	7.5472222222222225	UVP6
43.5041666666667	7.57722222222222	UVP6
43.6088888888889	7.42083333333333	UVP6
43.5713888888889	7.36055555555556	UVP6
43.5916666666667	7.47194444444444	UVP6
43.6069444444444	7.37777777777778	UVP6
70.81111111111112	16.091666666666665	UVP6
43.6063888888889	7.39472222222222	UVP6
43.61	7.36694444444444	UVP6
70.81083333333333	16.093055555555555	UVP6
43.6430555555556	7.34611111111111	UVP6
43.4866666666667	7.615	UVP6
43.6236111111111	7.40944444444444	UVP6
43.4897222222222	7.60388888888889	UVP6
43.6191666666667	7.40833333333333	UVP6
43.5938888888889	7.44111111111111	UVP6
43.49805555555555	7.590833333333333	UVP6
43.56805555555555	7.458333333333333	UVP6
43.6022222222222	7.43583333333333	UVP6
43.4708333333333	7.64055555555556	UVP6
43.4730555555556	7.62888888888889	UVP6
43.49388888888889	7.594444444444444	UVP6
43.6283333333333	7.39166666666667	UVP6
43.5994444444444	7.32944444444444	UVP6
43.6261111111111	7.39611111111111	UVP6
43.4566666666667	7.66666666666667	UVP6
43.6072222222222	7.32472222222222	UVP6
43.4591666666667	7.655	UVP6
43.6338888888889	7.36888888888889	UVP6
43.5833333333333	7.41166666666667	UVP6
43.6322222222222	7.37416666666667	UVP6
43.6094444444444	7.32638888888889	UVP6
43.471111111111114	7.638888888888889	UVP6
43.4438888888889	7.69694444444444	UVP6
43.4788888888889	7.64611111111111	UVP6
43.4466666666667	7.68527777777778	UVP6
43.6161111111111	7.32472222222222	UVP6
43.53138888888889	7.519444444444445	UVP6
43.6383333333333	7.34777777777778	UVP6
43.6291666666667	7.31611111111111	UVP6
43.6366666666667	7.3525	UVP6
43.43	7.72694444444444	UVP6
43.4333333333333	7.71583333333333	UVP6
43.4547222222222	7.69027777777778	UVP6
43.4586111111111	7.67916666666667	UVP6
43.5258333333333	7.34388888888889	UVP6
70.80166666666666	16.102777777777778	UVP6
43.6194444444444	7.32305555555556	UVP6
43.5963888888889	7.36166666666667	UVP6
70.80416666666666	16.10388888888889	UVP6
43.6638888888889	7.41805555555556	UVP6
43.6002777777778	7.44166666666667	UVP6
43.5980555555556	7.34972222222222	UVP6
43.4163888888889	7.7575	UVP6
43.495555555555555	7.587777777777777	UVP6
43.4186111111111	7.74611111111111	UVP6
43.435	7.720277777777778	UVP6
43.6438888888889	7.40972222222222	UVP6
43.4038888888889	7.78944444444444	UVP6
43.4358333333333	7.73944444444444	UVP6
43.4069444444444	7.77805555555556	UVP6
43.6241666666667	7.35194444444444	UVP6
43.6125	7.37805555555556	UVP6
43.3930555555556	7.82527777777778	UVP6
43.4213888888889	7.77666666666667	UVP6
43.6130555555556	7.46944444444444	UVP6
43.465	7.626111111111111	UVP6
43.3958333333333	7.81416666666667	UVP6
43.3830555555556	7.86361111111111	UVP6
43.3855555555556	7.85222222222222	UVP6
43.44555555555556	7.669722222222222	UVP6
43.5925	7.43694444444444	UVP6
43.5183333333333	7.29	UVP6
43.5677777777778	7.44333333333333	UVP6
43.5152777777778	7.28972222222222	UVP6
43.44888888888889	7.658888888888889	UVP6
43.3791666666667	7.88861111111111	UVP6
43.6466666666667	7.41694444444444	UVP6
43.3766666666667	7.89361111111111	UVP6
43.6425	7.41888888888889	UVP6
43.5775	7.52722222222222	UVP6
43.655	7.4133333333333304	UVP6
43.5794444444444	7.46111111111111	UVP6
43.435	7.6875	UVP6
43.5861111111111	7.40305555555556	UVP6
70.7936111111111	16.104166666666668	UVP6
43.5880555555556	7.39166666666667	UVP6
70.79416666666667	16.10861111111111	UVP6
43.3886111111111	7.87027777777778	UVP6
43.3863888888889	7.875	UVP6
43.5544444444444	7.55638888888889	UVP6
43.6494444444444	7.40972222222222	UVP6
43.3986111111111	7.85138888888889	UVP6
43.5594444444444	7.48777777777778	UVP6
