cycle	depth	nb_image	juld	nb_object	conc_object	PhaseName	wmo	date	lat	lon
1	972.4000244140625	20	26704.763831018518	0	0	PAR	1902593	2023-02-11T18:19:55Z	-48.785227500000005	72.34614583333334
1	985.20001220703125	20	26704.847141203703	0	0	PAR	1902593	2023-02-11T20:19:53Z	-48.785227500000005	72.34614583333334
1	990.4000244140625	20	26704.930486111112	0	0	PAR	1902593	2023-02-11T22:19:54Z	-48.785227500000005	72.34614583333334
1	991.9000244140625	20	26705.013819444444	0	0	PAR	1902593	2023-02-12T00:19:54Z	-48.785227500000005	72.34614583333334
1	991	75	26705.026805555557	0	0	NPAR	1902593	2023-02-12T00:38:36Z	-48.785227500000005	72.34614583333334
1	981.0999755859375	125	26705.029085648148	0	0	NPAR	1902593	2023-02-12T00:41:53Z	-48.785227500000005	72.34614583333334
1	959.70001220703125	115	26705.03185185185	0	0	NPAR	1902593	2023-02-12T00:45:52Z	-48.785227500000005	72.34614583333334
1	940	115	26705.034513888888	0	0	NPAR	1902593	2023-02-12T00:49:42Z	-48.785227500000005	72.34614583333334
1	919.79998779296875	100	26705.037002314813	0	0	NPAR	1902593	2023-02-12T00:53:17Z	-48.785227500000005	72.34614583333334
1	899.70001220703125	100	26705.03931712963	0	0	NPAR	1902593	2023-02-12T00:56:37Z	-48.785227500000005	72.34614583333334
1	879.70001220703125	110	26705.041747685184	0	0	NPAR	1902593	2023-02-12T01:00:07Z	-48.785227500000005	72.34614583333334
1	859.5999755859375	115	26705.04435185185	0	0	NPAR	1902593	2023-02-12T01:03:52Z	-48.785227500000005	72.34614583333334
1	840.20001220703125	110	26705.04695601852	0	0	NPAR	1902593	2023-02-12T01:07:37Z	-48.785227500000005	72.34614583333334
1	819.79998779296875	100	26705.049386574075	0	0	NPAR	1902593	2023-02-12T01:11:07Z	-48.785227500000005	72.34614583333334
1	800.0999755859375	105	26705.05175925926	0	0	NPAR	1902593	2023-02-12T01:14:32Z	-48.785227500000005	72.34614583333334
1	780.4000244140625	110	26705.05425925926	0	0	NPAR	1902593	2023-02-12T01:18:08Z	-48.785227500000005	72.34614583333334
