cycle	depth	nb_image	juld	nb_object	conc_object	PhaseName	wmo	date	lat	lon
1	1.5	20	26699.747060185186	5	0.35714285714285715	PAR	4903657	2023-02-06T17:55:46Z	-52.52857000000001	67.230829
1	1.5	20	26699.7609375	3	0.21428571428571427	PAR	4903657	2023-02-06T18:15:45Z	-52.52857000000001	67.230829
1	3	20	26699.77482638889	7	0.5	PAR	4903657	2023-02-06T18:35:45Z	-52.52857000000001	67.230829
1	3	20	26699.788715277777	7	0.5	PAR	4903657	2023-02-06T18:55:45Z	-52.52857000000001	67.230829
1	3	20	26699.802604166667	3	0.21428571428571427	PAR	4903657	2023-02-06T19:15:45Z	-52.52857000000001	67.230829
1	0.30000001192092896	20	26699.816493055554	7	0.5	PAR	4903657	2023-02-06T19:35:45Z	-52.52857000000001	67.230829
1	0.30000001192092896	20	26699.830381944445	5	0.35714285714285715	PAR	4903657	2023-02-06T19:55:45Z	-52.52857000000001	67.230829
1	0.30000001192092896	20	26699.844270833335	2	0.14285714285714285	PAR	4903657	2023-02-06T20:15:45Z	-52.52857000000001	67.230829
1	3.5	20	26699.858159722222	5	0.35714285714285715	PAR	4903657	2023-02-06T20:35:45Z	-52.52857000000001	67.230829
1	3.5	20	26699.872048611112	7	0.5	PAR	4903657	2023-02-06T20:55:45Z	-52.52857000000001	67.230829
1	3.5	20	26699.8859375	6	0.42857142857142855	PAR	4903657	2023-02-06T21:15:45Z	-52.52857000000001	67.230829
1	1.7000000476837158	20	26699.89982638889	4	0.2857142857142857	PAR	4903657	2023-02-06T21:35:45Z	-52.52857000000001	67.230829
1	1.7000000476837158	20	26699.913715277777	7	0.5	PAR	4903657	2023-02-06T21:55:45Z	-52.52857000000001	67.230829
1	1.7000000476837158	20	26699.927604166667	5	0.35714285714285715	PAR	4903657	2023-02-06T22:15:45Z	-52.52857000000001	67.230829
1	0.30000001192092896	20	26699.941493055554	2	0.14285714285714285	PAR	4903657	2023-02-06T22:35:45Z	-52.52857000000001	67.230829
1	0.30000001192092896	20	26699.955381944445	2	0.14285714285714285	PAR	4903657	2023-02-06T22:55:45Z	-52.52857000000001	67.230829
1	0.30000001192092896	20	26699.969270833335	7	0.5	PAR	4903657	2023-02-06T23:15:45Z	-52.52857000000001	67.230829
1	2.299999952316284	20	26699.983159722222	7	0.5	PAR	4903657	2023-02-06T23:35:45Z	-52.52857000000001	67.230829
1	2.299999952316284	20	26699.997048611112	5	0.35714285714285715	PAR	4903657	2023-02-06T23:55:45Z	-52.52857000000001	67.230829
1	2.299999952316284	20	26700.0109375	4	0.2857142857142857	PAR	4903657	2023-02-07T00:15:45Z	-52.52857000000001	67.230829
1	0.20000000298023224	20	26700.02482638889	5	0.35714285714285715	PAR	4903657	2023-02-07T00:35:45Z	-52.52857000000001	67.230829
1	0.20000000298023224	20	26700.038715277777	2	0.14285714285714285	PAR	4903657	2023-02-07T00:55:45Z	-52.52857000000001	67.230829
1	0.20000000298023224	20	26700.052604166667	4	0.2857142857142857	PAR	4903657	2023-02-07T01:15:45Z	-52.52857000000001	67.230829
1	0.4000000059604645	20	26700.066493055554	5	0.35714285714285715	PAR	4903657	2023-02-07T01:35:45Z	-52.52857000000001	67.230829
1	0.4000000059604645	20	26700.080381944445	4	0.2857142857142857	PAR	4903657	2023-02-07T01:55:45Z	-52.52857000000001	67.230829
1	0.4000000059604645	20	26700.094270833335	8	0.5714285714285714	PAR	4903657	2023-02-07T02:15:45Z	-52.52857000000001	67.230829
1	0.20000000298023224	20	26700.108159722222	5	0.35714285714285715	PAR	4903657	2023-02-07T02:35:45Z	-52.52857000000001	67.230829
1	0.20000000298023224	20	26700.122048611112	4	0.2857142857142857	PAR	4903657	2023-02-07T02:55:45Z	-52.52857000000001	67.230829
1	0.20000000298023224	20	26700.1359375	3	0.21428571428571427	PAR	4903657	2023-02-07T03:15:45Z	-52.52857000000001	67.230829
1	1.2000000476837158	20	26700.14982638889	8	0.5714285714285714	PAR	4903657	2023-02-07T03:35:45Z	-52.52857000000001	67.230829
1	1.2000000476837158	20	26700.163715277777	7	0.5	PAR	4903657	2023-02-07T03:55:45Z	-52.52857000000001	67.230829
